,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,Truth
337,sony 46 ' bravia s-series black lcd flat panel hdtv kdl46s4100,"sony 46 ' bravia s-series black lcd flat panel hdtv kdl46s4100 1920 x 1080 full hd resolution 24p true cinema atsctm/ntsc tuner with qam 2,500:1 contrast ratio cinemotion reverse 3:2 pulldown technology 3d comb filter mpeg noise reduction black finish",,sony 46 ' bravia s-series black lcd flat panel hdtv kdl46s4100,"sony 46 ' bravia s-series black sctm2b0090 1920 x 1080 full sctm2b0090 25dpi image display (640x480, 240p, 1:1, 24p, 9p) color, sepia color, s-alpha, r.25 scale, lcd luminance (60%) fisheye display mode 16x24 panel moto LCD panel",��,1
338,sennheisser hi-fi wireless headphone rs120,sennheisser hi-fi wireless headphone rs120 supra aural wireless rf headphone system range of up to 100 meters three selectable rf channels transmitter with metal cradle,,sennheisser hi-fi single-band rfm ( stereo ) microphone,sennheisser hi-fi single,ibrate2,1
339,netgear prosafe 16 port 10/100 desktop switch purple finish fs116p,netgear prosafe 16 port 10/100 desktop switch fs116p 16 auto speed-sensing 10/100 rj-45 ports 96 kb embedded memory per unit,299.0,"i5-4300k-2,i4GX 9x8 LCD and integrated HD graphics processor in dual-core ARM Cortex-A35 GPU","i5-4300k-2,i4GX 9x8 LCD and integrated HD graphics processor in dual-core ARM Cortex-A35 GPU with dedicated graphics processor power",��1201,1
340,denon home theater receiver and boston acoustics 5.1 speaker system package dht589ba,denon home theater receiver and boston acoustics 5.1 speaker system package dht589ba 2 hdmi inputs sirius satellite radio ready audyssey dynamic eq and volume technology 1/2 ' soft dome tweeter center and satellite speakers 3 ' mid-bass drivers satellite speakers dual 3 ' mid-bass drivers center speaker 8 ' down-firing subwoofer with 100w power amplifier,499.0,sony vct-60av tripod vct60av,fjr45c dht589ba,whlt45c  Col name,1
341,belkin cush top for computer laptop f8n044slv,"belkin cush top for computer laptop f8n044slv uniquely designed soft material for comfortable laptop use on the couch , bed , or floor convenient storage pocket center multi-sides accommodate any side laptop 6 colors to choose from silver finish",,belkin cush top for computer laptop f8n044slv,belkin cush top for computer laptop f8n044slv unique color with black finish (plastic cover) unique design features unique display,��,1
342,panasonic black 1080p up-conversion dvd recorder dmrea18k,panasonic black 1080p up-conversion dvd recorder dmrea18k 1080p up-conversion simple recording and playback with viera link digital camera connection with sd memory card and usb cable super multi format recording and playback auto drive select black finish,,panasonic black 1080p up-conversion dvd recorder dmrea18k,panasonic black 1080p up-conversion dvd recorder dmrea18k black finish,319.0 *****************************,1
343,sennheisser hi-fi wireless headphone rs120,sennheisser hi-fi wireless headphone rs120 supra aural wireless rf headphone system range of up to 100 meters three selectable rf channels transmitter with metal cradle,,sennheisser iridium low voltage wireless headphone rs140,sennheisser HiDome wireless wireless headphone rs165 supra audio multi-channel sound system with digital surround mic capability for high performance,〈朤馬澓曲風手中文格闘士園》 〈朤馬澓曲風手中文格闘士園 〈朤馬澓曲風手中文格闘士園 〈朤馬澓曲風手中文格闘士園,1
344,whirlpool duet sport front loading white washer white finish wfw8300swh,whirlpool duet sport front loading white washer wfw8300swh 3.4 cubic foot capacity electronic controls 7 cycles child lockout door lock variable-speed motor automatic water level control delay wash feature white finish,,"vych-z black power button black finish bf2-a 3200 watts, w/ 1-6 hour battery rechargeable with battery charger black finish",sony i-5/10/,��,1
345,panasonic black 1080p up-conversion dvd recorder dmrea18k,panasonic black 1080p up-conversion dvd recorder dmrea18k 1080p up-conversion simple recording and playback with viera link digital camera connection with sd memory card and usb cable super multi format recording and playback auto drive select black finish,,panasonic u2vcd backback device,panasonic u2vcd backback device 10.0 u2vcd,39.0  ˈr-,1
346,canon powershot black 14.7 megapixel digital camera g10,canon powershot black 14.7 megapixel digital camera g10 14.7 megapixel 5x optical zoom optical image stabilizer digic 4 image processor face detection self-timer intelligent contrast correction 3.0 ' purecolor lcd print/share button black finish,,canon powershot black blue f-stop camera lcd 12x digital zoom lens widescreen lcd dv vid camera manual color mode camera black finish,��,��,1
347,canon cb-2lv battery charger 9764a001,canon cb-2lv battery charger 9764a001 compatible with canon nb-4l rechargeable battery,,cbc-12 black cell charger dmc2x,"col-80 black cell charger dmc1x6d2 compatible with col-80 black cell, white cell",��,1
348,netgear prosafe 16 port 10/100 desktop switch purple finish fs116p,netgear prosafe 16 port 10/100 desktop switch fs116p 16 auto speed-sensing 10/100 rj-45 ports 96 kb embedded memory per unit,299.0,pmp100 mw10001/mw800,10.0 �� col price,10.0 �� col price,1
349,netgear prosafe 16 port 10/100 desktop switch purple finish fs116p,netgear prosafe 16 port 10/100 desktop switch fs116p 16 auto speed-sensing 10/100 rj-45 ports 96 kb embedded memory per unit,299.0,netgear prosafe 16 port 32/64 PC-MMC01-8 and other high performance PC-MMC01 ports only 96 kb embedded memory per unit,��,299.0 ��,1
350,cuisinart countertop griddler gr4,cuisinart countertop griddler gr4 nonstick grill knob selector light indicator temperature controls cleaning/scraping tool included,,cuisinart countertop griddler gr4,cuisinart countertop griddler gr4 nonstick grill knob selector light indicator temperature controls cleaning/scraping tool included,��,1
351,denon home theater receiver and boston acoustics 5.1 speaker system package dht589ba,denon home theater receiver and boston acoustics 5.1 speaker system package dht589ba 2 hdmi inputs sirius satellite radio ready audyssey dynamic eq and volume technology 1/2 ' soft dome tweeter center and satellite speakers 3 ' mid-bass drivers satellite speakers dual 3 ' mid-bass drivers center speaker 8 ' down-firing subwoofer with 100w power amplifier,499.0,denon home theater receiver and boston acoustics 2-inch speaker system pack w/ speaker hood color 4 ' medium-frequency subwoofer w/ 10w power amplifier,4-inch subwoofer w/ 12 diodes 16-bit j-cores 10-bit subwoofer,49.0 ��,1
352,sirius stiletto 2 portable satellite radio sl2pk1,sirius stiletto 2 portable satellite radio sl2pk1 sirius replay controls record up to 100 hours stores up to 10 hours of individual songs 2gb internal memory personalized sports ticker srs trubass and 3d focus technologies wifi black finish,,"Iber-Welteplatz stiletto 2,200,000","sirius stiletto 2,200,000 stiletto 2.5-2.5 radio cassette, stereo and single disc PLAYER name, DATE of album",4-1 or more,1
353,canon cb-2lv battery charger 9764a001,canon cb-2lv battery charger 9764a001 compatible with canon nb-4l rechargeable battery,,cb-lf batteries pack pack,canon cb-2lv battery charger 9764a001 compatible with canon .8l battery cap.,olulu1,1
354,weber gas barbecue rotisserie 7519,"weber gas barbecue rotisserie 7519 fits genesis e-300 , s-300 gas grills heavy-duty electric motor counterbalance for smooth turning",80.0,weber kerosene kerosene gas barbecue grill burner,��,��,1
355,canon powershot black 14.7 megapixel digital camera g10,canon powershot black 14.7 megapixel digital camera g10 14.7 megapixel 5x optical zoom optical image stabilizer digic 4 image processor face detection self-timer intelligent contrast correction 3.0 ' purecolor lcd print/share button black finish,,Canon powershot black 14.7 megapixel digital camera g10 1x 12-megapixel camera dual color digital camera,lg powerswitches white color display LED green finish,galitarianColName,1
356,cuisinart countertop griddler gr4,cuisinart countertop griddler gr4 nonstick grill knob selector light indicator temperature controls cleaning/scraping tool included,,cuisinart countertop griddler gr4,cuisinart display button,��  color,1
357,whirlpool duet sport front loading white washer white finish wfw8300swh,whirlpool duet sport front loading white washer wfw8300swh 3.4 cubic foot capacity electronic controls 7 cycles child lockout door lock variable-speed motor automatic water level control delay wash feature white finish,,whirlpool duet sport front load white washer white finish wfw8300swh 2.6 cubic foot capacity Electronic controls 7 cycles child lockout door lock variable-speed motor automatic water level control delay wash feature white finish Col description,"��1 6' x 6' digital video screen, 6' x 22' digital video screen, 16:9 1680 x 1050 - ssb, sbt, sbd,sbc,dsm,sbc2, sbld-taccol with 16:9 1680 x 1050 - sbs, sbb, sdb,sbd,sbd2",��1,1
358,cuisinart countertop griddler gr4,cuisinart countertop griddler gr4 nonstick grill knob selector light indicator temperature controls cleaning/scraping tool included,,cuisinart countertop griddler gr4 nonstick griddler gr4 clean grill knob,cuisinart countertop griddler gr4 clean griddler gr4 clean griddler gr4 light indicator,63,1
359,sirius stiletto 2 portable satellite radio sl2pk1,sirius stiletto 2 portable satellite radio sl2pk1 sirius replay controls record up to 100 hours stores up to 10 hours of individual songs 2gb internal memory personalized sports ticker srs trubass and 3d focus technologies wifi black finish,,wistro white hardware color display 3d print for iPad black,sirius stiletto 2 portable satellite radio sl2pk2 sirius trubass and 3d focus technologies wifi black finish,��,1
360,garmin nuvi 275t gps navigation system 0100057600,garmin nuvi 275t gps navigation system 0100057600 3.5 ' antiglare touchscreen display size turn-by-turn directions voice prompts speaks street names 2-d or 3-d maps bluetooth wireless technology avoid traffic tie-ups integrated fm traffic receiver sleek & slim design jpeg picture viewer world travel clock up to 4 hours of battery life garmin lock grey finish,,tpw 1x 1x 5x 12 x 11 y 2,ibrary color information on home screens color chart and status chart view and power use view on computer color chart background color chart and status chart display and control light bulb lights and fisheye LCD screen LCD light switch color information and settings color indicator on home screens and control device color indication on hard-wired TV LCD and power supply,��,1
361,belkin cush top for computer laptop f8n044slv,"belkin cush top for computer laptop f8n044slv uniquely designed soft material for comfortable laptop use on the couch , bed , or floor convenient storage pocket center multi-sides accommodate any side laptop 6 colors to choose from silver finish",,belkin cush top for computer laptop f8n044slv,"belkin cush top for computer laptop f8n044slv uniquely designed soft material for comfortable laptop use on the couch , bed , or floor convenient storage pocket center multi-sides accommodate any side laptop 6 colors to choose from silver finish",ˈlˈɛnj  Col,1
362,sony ms-a1gd 1gb memory stick micro ( m2 ) msa1gd,sony ms-a1gd 1gb memory stick micro ( m2 ) msa1gd 1gb storage capacity with 900mb available minimum write speeds of 15 mbps on memory stick micro enabled devices,,sony sony 2gb memory stick cata2000m,sony sony sony sony sony sony sony sony sony sony sony sony sony sony sony sony msa1gd,galitarian1,1
363,canon black eos 50d digital slr camera body eos50dbody,canon black eos 50d digital slr camera body eos50dbody 15.1 megapixel cmos sensor digic 4 image processor 3.0 ' clear view lcd 9 cross-type high-precision sensors enhanced live view eos integrated cleaning system creative auto hdmi output 2807b006 black finish,,canon eon eos 10d eos50d body eos50dbody,_.0022628024628025661823337543604514,_.0021960114570017549976393599444065441744,1
